@relation usa

@attribute date numeric
@attribute confirmed numeric

@data

1,1
2,1
3,2
4,2
5,5
6,5
7,5
8,5
9,5
10,7
11,8
12,8
13,11
14,11
15,11
16,11
17,11
18,11
19,11
20,11
21,12
22,12
23,13
24,13
25,13
26,13
27,13
28,13
29,13
30,13
31,15
32,15
33,15
34,15
35,15
36,15
37,16
38,16
39,24
40,30
41,53
42,73
43,104
44,172
45,217
46,336
47,450
48,514
49,708
50,1105
51,1557
52,2147
53,2857
54,2918
55,4307
56,6096
57,8873
58,14024
59,19230
60,25627
61,33621
62,43663
63,53736
64,65778
65,83836
66,101657
67,121478
68,140886
69,161807
70,188172
71,213362
